iter	RMSE
0	1.494248625
1	1.488519302
2	1.482811947
3	1.477126476
4	1.471462804
5	1.465820848
6	1.460200524
7	1.45460175
8	1.449024444
9	1.443468522
10	1.437933903
11	1.432420505
12	1.426928247
13	1.421457047
14	1.416006826
15	1.410577502
16	1.405168995
17	1.399781226
18	1.394414115
19	1.389067583
20	1.38374155
21	1.378435939
22	1.373150672
23	1.367885669
24	1.362640853
25	1.357416148
26	1.352211475
27	1.347026758
28	1.341861921
29	1.336716887
30	1.33159158
31	1.326485925
32	1.321399847
33	1.31633327
34	1.311286119
35	1.30625832
36	1.301249799
37	1.296260482
38	1.291290296
39	1.286339166
40	1.28140702
41	1.276493785
42	1.271599389
43	1.266723759
44	1.261866824
45	1.257028511
46	1.25220875
47	1.247407468
48	1.242624596
49	1.237860063
50	1.233113798
51	1.228385732
52	1.223675794
53	1.218983915
54	1.214310026
55	1.209654058
56	1.205015942
57	1.20039561
58	1.195792993
59	1.191208024
60	1.186640635
61	1.182090758
62	1.177558326
63	1.173043273
64	1.168545532
65	1.164065037
66	1.159601721
67	1.155155518
68	1.150726363
69	1.14631419
70	1.141918935
71	1.137540533
72	1.133178918
73	1.128834027
74	1.124505795
75	1.120194159
76	1.115899054
77	1.111620419
78	1.107358188
79	1.1031123
80	1.098882692
81	1.094669301
82	1.090472065
83	1.086290923
84	1.082125812
85	1.077976671
86	1.073843439
87	1.069726055
88	1.065624458
89	1.061538587
90	1.057468383
91	1.053413785
92	1.049374733
93	1.045351168
94	1.041343031
95	1.037350261
96	1.033372801
97	1.029410592
98	1.025463574
99	1.021531691
100	1.017614883
101	1.013713093
102	1.009826264
103	1.005954337
104	1.002097257
105	0.9982549657
106	0.9944274067
107	0.9906145235
108	0.9868162598
109	0.9830325597
110	0.9792633672
111	0.9755086267
112	0.9717682828
113	0.9680422804
114	0.9643305643
115	0.9606330799
116	0.9569497726
117	0.953280588
118	0.949625472
119	0.9459843706
120	0.9423572301
121	0.938743997
122	0.9351446179
123	0.9315590397
124	0.9279872096
125	0.9244290747
126	0.9208845826
127	0.9173536809
128	0.9138363177
129	0.9103324408
130	0.9068419988
131	0.9033649399
132	0.899901213
133	0.8964507668
134	0.8930135505
135	0.8895895134
